loan_id,origination_date,state,credit_tier,loan_amount,system_size_kw,loan_term_months,interest_rate,monthly_payment,installer_partner,cents_per_watt_of_solar_electricity,cents_per_watt_of_utility_electricity,is_delinquent,days_past_due
L0092,2024-01-05,TX,A,37899,9.8,300,5.23,226.57,"SunPro Electric",9.39,10.21,FALSE,0
L0093,2024-01-07,NY,A,36537,9,240,4.06,222.65,"SunPro Electric",17.76,18.72,FALSE,0
L0094,2024-03-07,NC,B,46713,14.1,180,7.46,431.97,"TerraWatt Installations",12.16,12.81,FALSE,0
L0095,2024-01-22,TX,A,26158,7.2,180,6.22,223.91,"BrightPath Solar",10.76,12.33,FALSE,0
L0096,2024-02-20,TX,A,33234,9.6,120,4.64,346.64,"GreenRoof Energy",8.6,10.63,FALSE,0
L0097,2024-01-12,NJ,B,34947,11.4,180,5.81,291.37,"BrightPath Solar",16.39,16.73,FALSE,0
L0098,2024-02-19,CA,A,52989,14.9,180,5.72,439.13,"BrightPath Solar",11.27,27.03,FALSE,0
L0099,2024-03-25,CA,B,23559,6.9,300,6.63,161.01,"BrightPath Solar",13.4,20.86,FALSE,0
L0100,2024-02-14,CA,A,33290,9.2,240,6.66,251.37,"GreenRoof Energy",12.12,22.84,FALSE,0
L0101,2024-01-15,NJ,A,37834,9.7,180,4.94,298.07,"SunPro Electric",6.95,17.98,FALSE,0
L0102,2024-03-27,TX,A,22375,6.9,300,4.54,124.89,"TerraWatt Installations",10.52,12.91,FALSE,0
L0103,2024-01-19,TX,B,23873,8.6,300,7.12,170.53,"GreenRoof Energy",11.76,11.52,FALSE,0
L0104,2024-03-21,CA,C,39533,10.9,180,11.84,470.33,"GreenRoof Energy",16.07,26.89,FALSE,0
L0105,2024-01-29,CO,C,42659,11.6,180,12.21,517.72,"GreenRoof Energy",14.21,11.89,FALSE,0
L0106,2024-02-28,NY,A,56105,17.7,180,6.1,476.5,"Apex Solar Co",11.8,21.53,FALSE,0
L0107,2024-03-08,TX,B,43508,13.3,300,7.01,307.73,"TerraWatt Installations",9.63,9.41,FALSE,0
L0108,2024-01-11,FL,C,30788,9.1,180,11.61,361.76,"GreenRoof Energy",13.5,15.48,FALSE,0
L0109,2024-01-14,TX,A,36307,12.3,120,6.76,416.99,"BrightPath Solar",8.29,12.74,FALSE,0
L0110,2024-01-13,MA,B,35200,11.5,240,7.72,288.25,"TerraWatt Installations",16.78,27.16,FALSE,0
L0111,2024-01-03,CO,B,23990,6.4,300,8.56,194.16,"Apex Solar Co",10.91,14.91,FALSE,0
L0112,2024-02-11,CA,B,42101,11,300,7.42,308.86,"TerraWatt Installations",10.06,25.39,FALSE,0
L0113,2024-03-14,CO,A,27783,7.8,240,4.63,177.79,"SunPro Electric",10.85,13.53,FALSE,0
L0114,2024-03-27,NY,A,38066,9.3,300,4.71,216.24,"Apex Solar Co",16.79,24.29,FALSE,0
L0115,2024-01-09,AZ,B,33201,10.8,300,7.79,251.64,"TerraWatt Installations",12.76,11.5,FALSE,0
L0116,2024-02-04,CA,A,31650,8.7,180,6,267.09,"Apex Solar Co",13.51,23.76,FALSE,0
L0117,2024-01-08,NJ,B,34785,9,180,7.74,327.2,"SunPro Electric",13.95,18.45,FALSE,0
L0118,2024-01-14,MA,B,30844,9.2,300,7.46,227.08,"SunPro Electric",13.46,25.01,FALSE,0
L0119,2024-03-01,TX,A,25860,6.4,300,4.43,142.68,"SunPro Electric",11.78,13.2,FALSE,0
L0120,2024-01-04,NJ,A,17963,5.9,240,5.58,124.34,"TerraWatt Installations",13.77,13.29,FALSE,0
L0121,2024-02-02,AZ,A,34584,8.6,240,4.9,226.42,"BrightPath Solar",9.26,15.5,FALSE,0
L0122,2024-03-07,CA,A,31647,9.2,300,5.75,199.03,"BrightPath Solar",8.66,25.2,FALSE,0
L0123,2024-02-19,CT,B,20172,6.3,300,6.1,131.14,"SunPro Electric",15.47,18.08,FALSE,0
L0124,2024-01-27,CO,B,35853,9.6,300,7.53,265.68,"BrightPath Solar",9.83,14.72,FALSE,0
L0125,2024-01-14,TX,A,40960,11.3,180,5.74,339.97,"Apex Solar Co",9.22,13.09,FALSE,0
L0126,2024-01-14,CA,B,20044,6.2,240,9.52,187.12,"BrightPath Solar",10.72,24.95,FALSE,0
L0127,2024-03-24,NJ,B,28998,8.7,240,6.5,216.12,"SunPro Electric",15,20.21,FALSE,0
L0128,2024-02-13,TX,A,31483,9.9,180,5.39,255.37,"GreenRoof Energy",11.98,11.92,FALSE,0
L0129,2024-02-10,FL,B,21397,6.1,240,7.63,174.09,"GreenRoof Energy",6.69,12.48,FALSE,0
L0130,2024-02-17,CA,A,32832,12,300,4.42,180.93,"GreenRoof Energy",10.42,26.65,FALSE,0
L0131,2024-02-23,TX,B,25022,8.5,180,8.55,247.14,"Apex Solar Co",11.35,8.71,FALSE,0
L0132,2024-01-21,TX,B,26572,7.6,240,7.11,207.71,"Apex Solar Co",9.91,12.48,FALSE,0
L0133,2024-03-01,AZ,A,33907,11,300,3.82,175.71,"SunPro Electric",10.97,12.16,FALSE,0
L0134,2024-01-25,FL,B,23330,5.7,180,8.16,225.11,"BrightPath Solar",12.33,13.93,FALSE,0
L0135,2024-03-16,CA,A,36537,9.9,300,6.56,248.11,"SunPro Electric",7.4,25.09,FALSE,0
L0136,2024-01-17,CA,A,28975,9.7,300,4,152.98,"BrightPath Solar",12.26,26.37,FALSE,0
L0137,2024-03-27,MA,A,23551,5.7,180,4.76,183.26,"Apex Solar Co",15.85,19.79,FALSE,0
L0138,2024-03-04,TX,B,18314,4.7,300,8.09,142.41,"BrightPath Solar",13.33,11.95,FALSE,0
L0139,2024-03-15,CA,A,36780,9.8,240,4.26,227.9,"BrightPath Solar",9.1,26.17,FALSE,0
L0140,2024-01-16,CO,A,29809,9.1,240,5.72,208.86,"Apex Solar Co",8.78,16.73,FALSE,0
L0141,2024-02-16,CT,B,32208,9.4,180,7.5,298.61,"GreenRoof Energy",11.02,21.73,FALSE,0
L0142,2024-01-14,NC,A,34533,11,240,6.45,256.42,"BrightPath Solar",11.24,11.23,FALSE,0
L0143,2024-02-07,CA,A,37665,12.6,240,5.26,254.01,"TerraWatt Installations",11.72,23.56,FALSE,0
L0144,2024-02-22,CA,A,26266,6.8,240,4.17,161.48,"BrightPath Solar",10.32,21.87,FALSE,0
L0145,2024-02-22,TX,A,45571,11.5,240,6.36,336.15,"TerraWatt Installations",13.29,13.09,FALSE,0
L0146,2024-02-17,FL,A,37988,9.8,240,6.12,274.73,"TerraWatt Installations",11.6,13.67,FALSE,0
L0147,2024-03-16,CA,B,39717,9.7,300,5.71,248.89,"Apex Solar Co",9.85,25.84,FALSE,0
L0148,2024-03-26,FL,C,27993,8.9,300,10.51,264.43,"TerraWatt Installations",12.76,10.65,FALSE,0
L0149,2024-02-03,NJ,B,24561,6.3,240,8.84,218.48,"Apex Solar Co",13.09,16.78,FALSE,0
L0150,2024-02-12,CO,A,20104,5.7,240,4,121.8,"BrightPath Solar",6.82,12.98,FALSE,0
L0151,2024-02-19,TX,C,35586,8.5,180,10.34,389.78,"TerraWatt Installations",13.83,11.29,TRUE,84
L0152,2024-03-30,AZ,A,25172,7.9,300,5.08,148.35,"BrightPath Solar",10.67,12.25,FALSE,0
L0153,2024-03-04,CT,A,27453,7,300,6.38,183.32,"BrightPath Solar",15.03,22.64,FALSE,0
L0154,2024-02-19,NY,A,29532,8.7,180,5.72,244.74,"BrightPath Solar",13.52,20.46,FALSE,0
L0155,2024-02-10,CA,A,42571,13.6,180,4.46,324.7,"Apex Solar Co",8.21,25.49,FALSE,0
L0156,2024-03-22,NJ,C,34669,10.1,240,10.55,347.3,"Apex Solar Co",14.9,17.14,FALSE,0
L0157,2024-02-04,CO,A,19784,6.1,180,4.72,153.59,"GreenRoof Energy",9.67,16.51,FALSE,0
L0158,2024-02-10,CA,B,16178,5,240,8.1,136.37,"Apex Solar Co",13.27,22.67,TRUE,44
L0159,2024-01-25,NC,A,13697,4,300,6.04,88.57,"BrightPath Solar",11.12,9.14,FALSE,0
L0160,2024-03-18,NJ,A,34957,9.1,300,4.8,200.35,"SunPro Electric",11.73,18.94,FALSE,0
L0161,2024-03-05,AZ,B,32058,10.5,180,7.39,295.19,"Apex Solar Co",7.88,15.87,FALSE,0
L0162,2024-01-18,FL,B,31574,10.6,300,8.16,246.96,"SunPro Electric",10.18,15.54,FALSE,0
L0163,2024-02-12,CA,A,47122,13.9,180,6.14,401.23,"GreenRoof Energy",10.04,25.7,FALSE,0
L0164,2024-03-15,TX,A,32348,8.5,180,6,272.89,"BrightPath Solar",13.72,14.66,FALSE,0
L0165,2024-02-25,TX,B,20367,6.4,300,6.86,142.1,"BrightPath Solar",13.38,11,FALSE,0
L0166,2024-03-15,FL,C,31772,8.5,300,11.73,328.25,"Apex Solar Co",9.28,13.35,FALSE,0
L0167,2024-02-23,CA,C,29577,9.9,180,11.92,353.52,"BrightPath Solar",14.64,25.16,FALSE,0
L0168,2024-02-21,FL,A,24196,9.2,240,4.93,158.77,"BrightPath Solar",11.01,16.55,FALSE,0
L0169,2024-01-09,CA,A,38125,13.4,300,4.34,208.39,"GreenRoof Energy",13.56,26.39,FALSE,0
L0170,2024-01-30,MA,A,19773,6.6,180,4.02,146.42,"SunPro Electric",15.67,24.57,FALSE,0
L0171,2024-01-18,NY,A,15039,4.4,180,4.77,117.14,"SunPro Electric",12.45,22.03,FALSE,0
L0172,2024-01-03,AZ,B,52232,15.7,240,5.75,366.77,"TerraWatt Installations",11.24,14.59,FALSE,0
L0173,2024-02-15,CO,A,33431,8.5,240,5.4,228.16,"Apex Solar Co",10.05,16.3,FALSE,0
L0174,2024-01-25,TX,A,34524,9.6,240,4.9,226,"BrightPath Solar",8.32,10.61,FALSE,0
L0175,2024-03-31,NC,B,19796,6.2,180,8.16,190.97,"SunPro Electric",12.9,15.1,FALSE,0
L0176,2024-02-27,FL,A,33769,9.3,180,4.45,257.52,"Apex Solar Co",10.68,10.54,FALSE,0
L0177,2024-01-28,FL,C,16593,4,300,10.25,153.72,"Apex Solar Co",11.7,12.44,TRUE,37
L0178,2024-01-23,TX,A,24826,7.9,300,5.4,151.01,"GreenRoof Energy",10.38,15.23,FALSE,0
L0179,2024-02-21,NJ,B,14255,4.2,300,5.69,89.16,"Apex Solar Co",9.84,15.54,FALSE,0
L0180,2024-03-10,CA,B,38754,10.7,180,7.85,367.02,"Apex Solar Co",15.79,23.94,FALSE,0
L0181,2024-01-31,CA,B,33672,9.3,180,6.1,285.99,"GreenRoof Energy",11.88,28.2,FALSE,0
L0182,2024-01-01,TX,B,31094,9.4,180,7.87,294.84,"TerraWatt Installations",12.59,10.35,TRUE,47
L0183,2024-02-16,CO,A,33843,9.5,180,5.66,279.36,"Apex Solar Co",12.36,14.64,FALSE,0
L0184,2024-02-06,MA,B,43159,12.1,240,7.58,349.88,"BrightPath Solar",12.83,23.19,FALSE,0
L0185,2024-01-10,FL,A,29582,10.6,240,4.13,181.35,"BrightPath Solar",10.83,10.41,FALSE,0
L0186,2024-03-29,CA,A,31279,9,240,5.29,211.5,"BrightPath Solar",9.54,24.62,FALSE,0
L0187,2024-01-24,CO,A,11966,4,240,4.9,78.32,"TerraWatt Installations",9.48,14.6,FALSE,0
L0188,2024-01-08,CA,A,30444,10.1,120,4.89,321.22,"SunPro Electric",9.42,23.05,FALSE,0
L0189,2024-03-26,FL,A,45857,12.3,180,5.58,376.72,"SunPro Electric",10.25,11.76,FALSE,0
L0190,2024-02-04,TX,A,41260,10.8,240,4.65,264.37,"Apex Solar Co",12.27,9.23,FALSE,0
L0191,2024-03-19,AZ,B,33735,7.9,240,7.81,278.24,"BrightPath Solar",9.26,13.67,FALSE,0
L0192,2024-01-27,CA,C,34467,10.1,180,11.21,396.26,"SunPro Electric",12.17,24.68,FALSE,0
L0193,2024-01-22,CO,B,35902,11.2,300,7.73,270.59,"TerraWatt Installations",13.46,13.28,FALSE,0
L0194,2024-02-18,TX,A,33633,9.5,180,6.12,285.91,"GreenRoof Energy",11.4,13.46,FALSE,0
L0195,2024-01-21,CA,A,43365,10.8,180,5.3,349.66,"Apex Solar Co",8.73,27.91,FALSE,0
L0196,2024-01-10,TX,A,32384,9.8,240,6.08,233.42,"BrightPath Solar",8.24,14.88,FALSE,0
L0197,2024-02-10,NC,A,23916,7,180,5.02,189.35,"TerraWatt Installations",12.18,11.82,FALSE,0
L0198,2024-02-16,AZ,A,34483,10,180,6.73,304.81,"BrightPath Solar",8.79,16.99,FALSE,0
L0199,2024-03-20,TX,B,36083,9.4,240,8.38,310.45,"SunPro Electric",8.28,11.8,FALSE,0
L0200,2024-01-23,CA,A,41266,12,180,6.7,363.91,"SunPro Electric",9.01,24.23,FALSE,0
L0201,2024-02-23,NJ,B,35690,9.5,180,7.22,325.21,"GreenRoof Energy",12.97,17.38,FALSE,0
L0202,2024-01-22,NJ,A,19873,5,300,5.72,124.71,"Apex Solar Co",13.29,12.56,TRUE,48
L0203,2024-03-04,TX,B,38144,10.9,240,7.93,317.41,"Apex Solar Co",12.22,12.75,FALSE,0
L0204,2024-03-31,CA,A,41640,13,300,4.47,230.77,"SunPro Electric",9.26,26.01,FALSE,0
L0205,2024-02-13,TX,A,28296,7.5,180,5.65,233.51,"TerraWatt Installations",11.29,13.95,FALSE,0
L0206,2024-02-21,NJ,A,44559,11.4,120,5.19,476.81,"SunPro Electric",13.61,16.07,FALSE,0
L0207,2024-03-19,NY,A,35792,9,120,6.14,399.9,"TerraWatt Installations",14.59,19.76,FALSE,0
L0208,2024-03-01,AZ,A,34164,9.6,180,4.79,266.47,"Apex Solar Co",11.14,13.24,FALSE,0
L0209,2024-03-31,CA,A,12330,4.6,240,4.86,80.42,"SunPro Electric",9.81,24.48,FALSE,0
L0210,2024-03-22,FL,C,31610,9.8,240,11.06,327.58,"GreenRoof Energy",11.5,10.7,TRUE,73
L0211,2024-02-21,TX,A,15125,4,180,5.18,121.03,"GreenRoof Energy",11.38,9.35,FALSE,0
L0212,2024-03-09,NC,A,19381,6.5,180,4.1,144.37,"TerraWatt Installations",9.55,9.56,FALSE,0
L0213,2024-01-07,FL,A,24228,7.9,180,3.89,177.93,"TerraWatt Installations",12.27,9.56,FALSE,0
L0214,2024-03-23,TX,B,34257,9.1,240,6.25,250.49,"BrightPath Solar",9.51,12.74,TRUE,41
L0215,2024-02-29,CO,A,32274,7.7,240,4.07,196.82,"GreenRoof Energy",8.26,17.66,FALSE,0
L0216,2024-03-15,NY,A,46562,11.5,300,5.18,277.09,"SunPro Electric",12.73,20.3,FALSE,0
L0217,2024-01-05,TX,A,30105,8.1,240,4.78,194.98,"SunPro Electric",9.2,14.34,FALSE,0
L0218,2024-02-14,MA,B,26324,8.2,300,7.29,190.9,"BrightPath Solar",11.49,22.03,FALSE,0
L0219,2024-02-29,MA,B,31905,8.1,300,9.18,271.67,"Apex Solar Co",17.06,26.61,FALSE,0
L0220,2024-02-12,NJ,B,31258,9.6,300,7.14,223.82,"Apex Solar Co",10.35,15.22,FALSE,0
L0221,2024-03-06,CT,A,31693,8.9,180,3.53,226.99,"TerraWatt Installations",15.65,23.23,FALSE,0
L0222,2024-02-03,FL,C,24653,6.8,240,11.34,260.25,"BrightPath Solar",13.96,14.24,FALSE,0
L0223,2024-03-17,CT,A,30576,8.9,240,6.01,219.26,"BrightPath Solar",13.37,21.32,FALSE,0
L0224,2024-03-16,CA,A,18453,5.8,240,4.49,116.62,"TerraWatt Installations",11.96,25.62,FALSE,0
L0225,2024-03-12,NC,A,33544,11,240,4.12,205.43,"GreenRoof Energy",6.42,11.82,FALSE,0
L0226,2024-02-18,NC,A,35141,11.4,180,5.42,285.6,"TerraWatt Installations",9.48,11.92,FALSE,0
L0227,2024-01-12,AZ,B,21141,5.4,120,8.33,260.23,"GreenRoof Energy",8.3,12.29,FALSE,0
L0228,2024-02-25,TX,A,18082,4.9,240,4.99,119.27,"SunPro Electric",6.53,10.55,FALSE,0
L0229,2024-02-01,FL,A,25307,7.8,240,6.4,187.21,"TerraWatt Installations",11.03,9.54,FALSE,0
L0230,2024-01-20,AZ,A,27484,6.7,240,6.23,200.56,"GreenRoof Energy",12.78,11.78,FALSE,0
L0231,2024-01-30,NC,A,22141,7.6,240,5.99,158.5,"SunPro Electric",8.73,7.47,FALSE,0
L0232,2024-01-24,AZ,B,23458,6.7,300,7.14,167.97,"SunPro Electric",13.25,13.5,FALSE,0
L0233,2024-02-18,NJ,C,40478,13.6,300,11.34,406.69,"BrightPath Solar",14.76,15.58,FALSE,0
L0234,2024-01-04,FL,A,36410,10.3,240,4.96,239.41,"Apex Solar Co",11.51,13.53,FALSE,0
L0235,2024-01-09,CT,A,25404,7,240,3.37,145.62,"GreenRoof Energy",12.15,19.87,FALSE,0
L0236,2024-01-04,TX,A,26490,7.5,180,4.23,199.01,"Apex Solar Co",9.18,11.3,FALSE,0
L0237,2024-01-15,CA,A,28134,7.6,240,3.77,167.05,"SunPro Electric",12.22,23.2,FALSE,0
L0238,2024-02-09,NC,B,20894,5.6,300,9.41,181.22,"SunPro Electric",11.29,9.26,FALSE,0
